measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
5,Prevalence,43,Albania,3,Both,22,All ages,564,Amphetamine use disorders,2,Percent,1990,0.0012659194011579626,0.0018416716328450494,0.000809114029698935
5,Prevalence,43,Albania,3,Both,22,All ages,564,Amphetamine use disorders,2,Percent,1991,0.001252633106874374,0.0017999371464160088,0.0008023872392724222
5,Prevalence,43,Albania,3,Both,22,All ages,564,Amphetamine use disorders,2,Percent,1992,0.0012387584290803539,0.001773554862313078,0.0007974120376766966
5,Prevalence,43,Albania,3,Both,22,All ages,564,Amphetamine use disorders,2,Percent,1993,0.0012247450820848046,0.0017450550754013324,0.0007906970360768725
5,Prevalence,43,Albania,3,Both,22,All ages,564,Amphetamine use disorders,2,Percent,1994,0.0012109059616931509,0.0017221612660577304,0.0007824838511725497
5,Prevalence,43,Albania,3,Both,22,All ages,564,Amphetamine use disorders,2,Percent,1995,0.0011972277167900875,0.0017093763905645168,0.0007734337399015797
5,Prevalence,43,Albania,3,Both,22,All ages,564,Amphetamine use disorders,2,Percent,1996,0.0011873022448908666,0.001681242737931216,0.0007642185326272003
5,Prevalence,43,Albania,3,Both,22,All ages,564,Amphetamine use disorders,2,Percent,1997,0.0012161986543023145,0.0017212112307399966,0.0007772871791714847
5,Prevalence,43,Albania,3,Both,22,All ages,564,Amphetamine use disorders,2,Percent,1998,0.0012433958462721964,0.0017704430423623966,0.0007923015882598686
5,Prevalence,43,Albania,3,Both,22,All ages,564,Amphetamine use disorders,2,Percent,1999,0.001187619172001412,0.0016893037620396116,0.0007621415931708273
5,Prevalence,43,Albania,3,Both,22,All ages,564,Amphetamine use disorders,2,Percent,2000,0.0011343763981803926,0.0016158955423219786,0.0007381250604254882
5,Prevalence,43,Albania,3,Both,22,All ages,564,Amphetamine use disorders,2,Percent,2001,0.0011218363622135879,0.0016022573116586585,0.0007323382577961237
5,Prevalence,43,Albania,3,Both,22,All ages,564,Amphetamine use disorders,2,Percent,2002,0.0011105232163173126,0.0015708607793039557,0.0007283384020503882
5,Prevalence,43,Albania,3,Both,22,All ages,564,Amphetamine use disorders,2,Percent,2003,0.0011021513254527778,0.001555759343889847,0.000730477623329671
5,Prevalence,43,Albania,3,Both,22,All ages,564,Amphetamine use disorders,2,Percent,2004,0.0010978140191546524,0.001546966088636744,0.0007322226498267133
5,Prevalence,43,Albania,3,Both,22,All ages,564,Amphetamine use disorders,2,Percent,2005,0.0010981759928926581,0.001556009674140051,0.0007272939858364869
