measure_id,measure_name,location_id,location_name,sex_id,sex_name,age_id,age_name,cause_id,cause_name,metric_id,metric_name,year,val,upper,lower
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,1990,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,1991,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,1992,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,1993,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,1994,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,1995,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,1996,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,1997,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,1998,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,1999,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,2000,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,2001,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,2002,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,2003,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,2004,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,2005,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,2006,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,2007,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,2008,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,2009,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,2010,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,2011,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,2012,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,2013,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,2014,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,2015,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,2016,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,2017,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,2018,0.0,0.0,0.0
6,Incidence,14,Maldives,3,Both,22,All ages,345,Malaria,1,Number,2019,0.0,0.0,0.0
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,1990,0.0,0.0,0.0
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,1991,0.0,0.0,0.0
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,1992,0.0,0.0,0.0
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,1993,0.0,0.0,0.0
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,1994,0.0,0.0,0.0
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,1995,0.0,0.0,0.0
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,1996,2.8655430599012335,4.03371235017234,1.9293444940389997
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,1997,11.206929235246752,14.989513135571828,7.83828443280383
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,1998,24.617710717987617,32.506422483407995,17.441972614013384
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,1999,42.66341521259039,59.60551960138638,28.629091674664082
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,2000,64.85894895229941,97.87523700755543,39.44371069709137
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,2001,138.70269371557046,195.19436610548013,94.40120009325146
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,2002,282.43186330190923,376.7287435756348,201.86292971992935
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,2003,449.69224421290016,609.9340689086879,323.72720009058855
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,2004,591.7566084754714,846.5910141224593,417.87420657294217
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,2005,657.2153195293604,996.1818300605856,415.11607190228705
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,2006,597.1476317641756,844.5676671476076,418.40322520252175
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,2007,438.0087981008963,596.6380974371542,319.44616666837766
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,2008,241.4225676669267,325.14074467549403,177.09254845719406
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,2009,72.42387732805636,102.83173188714544,49.99607471922401
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,2010,0.0,0.0,0.0
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,2011,0.0,0.0,0.0
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,2012,0.0,0.0,0.0
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,2013,0.0,0.0,0.0
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,2014,0.0,0.0,0.0
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,2015,0.0,0.0,0.0
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,2016,0.0,0.0,0.0
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,2017,0.0,0.0,0.0
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,2018,0.0,0.0,0.0
6,Incidence,37,Kyrgyzstan,3,Both,22,All ages,345,Malaria,1,Number,2019,0.0,0.0,0.0
